time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,Degree Class,First,46,18
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,Degree Class,Upper Second,128,51
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,Degree Class,Lower Second,68,27
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,Degree Class,Other,7,3
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,Degree Class,Total Known,138,100
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,Degree Class,First,32,23
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,Degree Class,Upper Second,76,55
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,Degree Class,Lower Second,28,20
201920,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,Degree Class,Other,2,1
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,14,100
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,HEI,Degree Class,First,6,43
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,5,36
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,HEI,Degree Class,Lower Second,3,21
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,Degree Class,Total Known,8,100
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,Degree Class,First,2,25
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,Degree Class,Upper Second,3,38
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,Degree Class,Lower Second,3,38
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,Degree Class,Total Known,23,100
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,Degree Class,First,3,13
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,Degree Class,Upper Second,12,52
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,Degree Class,Lower Second,3,13
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,Degree Class,Other,5,22
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,Degree Class,Total Known,432,100
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,Degree Class,First,89,21
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,Degree Class,Upper Second,224,52
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,Degree Class,Lower Second,105,24
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,Degree Class,Other,14,3
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,Degree Class,Total Known,81,100
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,Degree Class,First,11,14
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,Degree Class,Upper Second,53,65
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,Degree Class,Lower Second,15,19
