time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Music,PG Fee-Funded,School Centred ITT,68,21
201920,Academic year,National,E92000001,England,Music,PG Fee-Funded,Total,286,87
201920,Academic year,National,E92000001,England,Music,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Music,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,3,1
201920,Academic year,National,E92000001,England,Music,PG Salaried Postgraduate Teaching Apprenticeship,Total,3,1
201920,Academic year,National,E92000001,England,Music,PG Salaried School Direct,Higher Education Institution,7,2
201920,Academic year,National,E92000001,England,Music,PG Salaried School Direct,School Centred ITT,22,7
201920,Academic year,National,E92000001,England,Music,PG Salaried School Direct,Total,29,9
201920,Academic year,National,E92000001,England,Music,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Music,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Music,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Music,Postgraduate Salaried Total,Total,43,13
201920,Academic year,National,E92000001,England,Music,Postgraduate Total,Total,329,100
201920,Academic year,National,E92000001,England,Other,Total,Total,291,100
201920,Academic year,National,E92000001,England,Other,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Other,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Other,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Other,PG Fee-Funded,Higher Education Institution,204,70
201920,Academic year,National,E92000001,England,Other,PG Fee-Funded,School Centred ITT,73,25
201920,Academic year,National,E92000001,England,Other,PG Fee-Funded,Total,277,96
201920,Academic year,National,E92000001,England,Other,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Other,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,4,1
201920,Academic year,National,E92000001,England,Other,PG Salaried Postgraduate Teaching Apprenticeship,Total,5,2
201920,Academic year,National,E92000001,England,Other,PG Salaried School Direct,Higher Education Institution,3,1
201920,Academic year,National,E92000001,England,Other,PG Salaried School Direct,School Centred ITT,5,2
201920,Academic year,National,E92000001,England,Other,PG Salaried School Direct,Total,8,3
201920,Academic year,National,E92000001,England,Other,Undergraduate Fee-Funded,Total,1,100
201920,Academic year,National,E92000001,England,Other,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Other,Undergraduate Total,Total,1,0
201920,Academic year,National,E92000001,England,Other,Postgraduate Salaried Total,Total,13,4
201920,Academic year,National,E92000001,England,Other,Postgraduate Total,Total,290,100
201920,Academic year,National,E92000001,England,Physical Education,Total,Total,1446,100
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Physical Education,PG Fee-Funded,Higher Education Institution,912,66
201920,Academic year,National,E92000001,England,Physical Education,PG Fee-Funded,School Centred ITT,420,31
201920,Academic year,National,E92000001,England,Physical Education,PG Fee-Funded,Total,1332,97
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,7,1
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,9,1
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried Postgraduate Teaching Apprenticeship,Total,16,1
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,Higher Education Institution,5,0
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,School Centred ITT,19,1
201920,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,Total,24,2
201920,Academic year,National,E92000001,England,Physical Education,Undergraduate Fee-Funded,Total,74,100
201920,Academic year,National,E92000001,England,Physical Education,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Physical Education,Undergraduate Total,Total,74,5
201920,Academic year,National,E92000001,England,Physical Education,Postgraduate Salaried Total,Total,40,3
201920,Academic year,National,E92000001,England,Physical Education,Postgraduate Total,Total,1372,95
201920,Academic year,National,E92000001,England,Physics,Total,Total,553,100
201920,Academic year,National,E92000001,England,Physics,PG Salaried High Potential ITT,Higher Education Institution,42,8
201920,Academic year,National,E92000001,England,Physics,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Physics,PG Salaried High Potential ITT,Total,42,8
201920,Academic year,National,E92000001,England,Physics,PG Fee-Funded,Higher Education Institution,308,56
201920,Academic year,National,E92000001,England,Physics,PG Fee-Funded,School Centred ITT,175,32
201920,Academic year,National,E92000001,England,Physics,PG Fee-Funded,Total,483,88
201920,Academic year,National,E92000001,England,Physics,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Physics,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,1,0
201920,Academic year,National,E92000001,England,Physics,PG Salaried Postgraduate Teaching Apprenticeship,Total,1,0
201920,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,Higher Education Institution,11,2
201920,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,School Centred ITT,14,3
201920,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,Total,25,5
201920,Academic year,National,E92000001,England,Physics,Undergraduate Fee-Funded,Total,2,100
201920,Academic year,National,E92000001,England,Physics,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Physics,Undergraduate Total,Total,2,0
201920,Academic year,National,E92000001,England,Physics,Postgraduate Salaried Total,Total,68,12
