time_period,time_identifier,geographic_level,country_code,country_name,itt_level,breakdown_topic,breakdown,trainee_number,trainee_percentage
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Known Sex,12498,100
201718,Academic year,National,E92000001,England,Postgraduate,Total,Secondary,14646,54
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Male,5831,40
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Female,8811,60
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Other Sex,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Known Sex,14642,100
201718,Academic year,National,E92000001,England,Postgraduate,Sex,Total Known Sex,27140,100
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Asian / Asian British,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Other ethnic group,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,White,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Total Known Ethnicity,0,0
201718,Academic year,National,E92000001,England,Postgraduate,Age,Under 25,13847,51
201718,Academic year,National,E92000001,England,Postgraduate,Age,25 to 29,6842,25
201718,Academic year,National,E92000001,England,Postgraduate,Age,30 to 34,2306,8
201718,Academic year,National,E92000001,England,Postgraduate,Age,35 to 39,1413,5
201718,Academic year,National,E92000001,England,Postgraduate,Age,40 to 44,1259,5
201718,Academic year,National,E92000001,England,Postgraduate,Age,45 to 49,899,3
201718,Academic year,National,E92000001,England,Postgraduate,Age,50 to 54,407,1
201718,Academic year,National,E92000001,England,Postgraduate,Age,55 and over,173,1
201718,Academic year,National,E92000001,England,Postgraduate,Disability,Declared,2590,10
201718,Academic year,National,E92000001,England,Postgraduate,Disability,No Disability Declared,24451,90
201718,Academic year,National,E92000001,England,Postgraduate,Disability,Total Known Disability,27041,100
201718,Academic year,National,E92000001,England,Postgraduate,Nationality,UK,24223,93
201718,Academic year,National,E92000001,England,Postgraduate,Nationality,EEA,1294,5
201718,Academic year,National,E92000001,England,Postgraduate,Nationality,Other Nationality,532,2
201718,Academic year,National,E92000001,England,Postgraduate,Nationality,Total Known Nationality,26049,96
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,First,5002,19
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second,14869,55
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second Class Degree or Better,19871,74
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,Lower Second,6026,22
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,Other Degree Class,935,3
201718,Academic year,National,E92000001,England,Postgraduate,Degree Class,Total Known Degree Class,26832,99
201718,Academic year,National,E92000001,England,Undergraduate,Total,Primary,4563,100
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Male,643,14
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Female,3916,86
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Other Sex,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Known Sex,4559,100
201718,Academic year,National,E92000001,England,Undergraduate,Total,Secondary,200,4
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Male,83,42
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Female,117,59
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Other Sex,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Known Sex,200,100
201718,Academic year,National,E92000001,England,Undergraduate,Sex,Total Known Sex,4759,100
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Asian / Asian British,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Other ethnic group,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,White,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Total Known Ethnicity,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Age,Under 25,4317,91
201718,Academic year,National,E92000001,England,Undergraduate,Age,25 to 29,226,5
201718,Academic year,National,E92000001,England,Undergraduate,Age,30 to 34,82,2
201718,Academic year,National,E92000001,England,Undergraduate,Age,35 to 39,68,1
201718,Academic year,National,E92000001,England,Undergraduate,Age,40 to 44,41,1
201718,Academic year,National,E92000001,England,Undergraduate,Age,45 to 49,20,0
201718,Academic year,National,E92000001,England,Undergraduate,Age,50 to 54,9,0
201718,Academic year,National,E92000001,England,Undergraduate,Age,55 and over,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Disability,Declared,591,12
