time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202223,Academic year,National,E92000001,England,Design & Technology,Target,Postgraduate ITT Target,1825,24
202223,Academic year,National,E92000001,England,Design & Technology,Total,Total Postgraduates,444,100
202223,Academic year,National,E92000001,England,Drama,Total,Postgraduates in scope of target,322,z
202223,Academic year,National,E92000001,England,Drama,Target,Postgraduate ITT Target,290,111
202223,Academic year,National,E92000001,England,Drama,Total,Total Postgraduates,331,100
202223,Academic year,National,E92000001,England,English,Total,Postgraduates in scope of target,1726,z
202223,Academic year,National,E92000001,England,English,Target,Postgraduate ITT Target,2100,82
202223,Academic year,National,E92000001,England,English,Total,Total Postgraduates,1787,100
202223,Academic year,National,E92000001,England,Geography,Total,Postgraduates in scope of target,640,z
202223,Academic year,National,E92000001,England,Geography,Target,Postgraduate ITT Target,945,68
202223,Academic year,National,E92000001,England,Geography,Total,Total Postgraduates,661,100
202223,Academic year,National,E92000001,England,History,Total,Postgraduates in scope of target,1099,z
202223,Academic year,National,E92000001,England,History,Target,Postgraduate ITT Target,850,129
202223,Academic year,National,E92000001,England,History,Total,Total Postgraduates,1126,100
202223,Academic year,National,E92000001,England,Mathematics,Total,Postgraduates in scope of target,1799,z
202223,Academic year,National,E92000001,England,Mathematics,Target,Postgraduate ITT Target,2040,88
202223,Academic year,National,E92000001,England,Mathematics,Total,Total Postgraduates,1869,100
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Postgraduates in scope of target,709,z
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Target,Postgraduate ITT Target,2140,33
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total Postgraduates,763,100
202223,Academic year,National,E92000001,England,Music,Total,Postgraduates in scope of target,292,z
202223,Academic year,National,E92000001,England,Music,Target,Postgraduate ITT Target,470,62
202223,Academic year,National,E92000001,England,Music,Total,Total Postgraduates,318,100
202223,Academic year,National,E92000001,England,Other,Total,Postgraduates in scope of target,391,z
202223,Academic year,National,E92000001,England,Other,Target,Postgraduate ITT Target,2240,17
202223,Academic year,National,E92000001,England,Other,Total,Total Postgraduates,401,100
