time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,itt_program_type,num_candidates,num_accepted,perc_accepted_candidates_on_route,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,English,PG Salaried PGTA,Total,290,74,5,77,27
202223,Academic year,National,E92000001,England,English,PG Salaried School Direct,HEI,158,20,1,20,13
202223,Academic year,National,E92000001,England,English,PG Salaried School Direct,SCITT,344,56,4,59,17
202223,Academic year,National,E92000001,England,English,PG Salaried School Direct,Total,433,76,5,79,18
202223,Academic year,National,E92000001,England,English,PG Total,HEI,2572,989,67,1223,48
202223,Academic year,National,E92000001,England,English,PG Total,SCITT,1404,481,33,566,40
202223,Academic year,National,E92000001,England,English,PG Total,Total,3166,1470,100,1789,57
202223,Academic year,National,E92000001,England,English,Total,HEI,2572,989,67,1223,48
202223,Academic year,National,E92000001,England,English,Total,SCITT,1404,481,33,566,40
202223,Academic year,National,E92000001,England,English,Total,Total,3166,1470,100,1789,57
202223,Academic year,National,E92000001,England,Geography,PG fee-funded,HEI,839,385,66,456,54
202223,Academic year,National,E92000001,England,Geography,PG fee-funded,SCITT,425,175,30,197,46
202223,Academic year,National,E92000001,England,Geography,PG fee-funded,Total,985,560,97,653,66
202223,Academic year,National,E92000001,England,Geography,PG Salaried PGTA,HEI,9,1,0,x,x
202223,Academic year,National,E92000001,England,Geography,PG Salaried PGTA,SCITT,28,6,1,x,x
202223,Academic year,National,E92000001,England,Geography,PG Salaried PGTA,Total,36,7,1,7,19
202223,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,HEI,13,1,0,x,x
202223,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,SCITT,58,11,2,11,19
202223,Academic year,National,E92000001,England,Geography,PG Salaried School Direct,Total,65,12,2,12,18
202223,Academic year,National,E92000001,England,Geography,PG Total,HEI,849,387,67,458,54
202223,Academic year,National,E92000001,England,Geography,PG Total,SCITT,473,192,33,214,45
202223,Academic year,National,E92000001,England,Geography,PG Total,Total,1022,579,100,672,66
202223,Academic year,National,E92000001,England,Geography,Total,HEI,849,387,67,458,54
202223,Academic year,National,E92000001,England,Geography,Total,SCITT,473,192,33,214,45
202223,Academic year,National,E92000001,England,Geography,Total,Total,1022,579,100,672,66
202223,Academic year,National,E92000001,England,History,PG fee-funded,HEI,1562,734,69,862,55
202223,Academic year,National,E92000001,England,History,PG fee-funded,SCITT,716,289,27,345,48
202223,Academic year,National,E92000001,England,History,PG fee-funded,Total,1794,1023,97,1207,67
202223,Academic year,National,E92000001,England,History,PG Salaried PGTA,HEI,24,3,0,x,x
202223,Academic year,National,E92000001,England,History,PG Salaried PGTA,SCITT,107,18,2,19,18
202223,Academic year,National,E92000001,England,History,PG Salaried PGTA,Total,121,21,2,22,18
202223,Academic year,National,E92000001,England,History,PG Salaried School Direct,HEI,34,5,0,5,15
202223,Academic year,National,E92000001,England,History,PG Salaried School Direct,SCITT,99,9,1,9,9
202223,Academic year,National,E92000001,England,History,PG Salaried School Direct,Total,124,14,1,14,11
202223,Academic year,National,E92000001,England,History,PG Total,HEI,1596,742,70,870,55
202223,Academic year,National,E92000001,England,History,PG Total,SCITT,832,316,30,373,45
202223,Academic year,National,E92000001,England,History,PG Total,Total,1873,1058,100,1243,66
202223,Academic year,National,E92000001,England,History,Total,HEI,1596,742,70,870,55
202223,Academic year,National,E92000001,England,History,Total,SCITT,832,316,30,373,45
202223,Academic year,National,E92000001,England,History,Total,Total,1873,1058,100,1243,66
202223,Academic year,National,E92000001,England,Mathematics,PG fee-funded,HEI,3207,1062,62,1285,40
202223,Academic year,National,E92000001,England,Mathematics,PG fee-funded,SCITT,1630,526,31,600,37
202223,Academic year,National,E92000001,England,Mathematics,PG fee-funded,Total,3775,1588,93,1885,50
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried PGTA,HEI,49,5,0,6,12
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried PGTA,SCITT,214,25,1,26,12
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried PGTA,Total,253,30,2,32,13
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,HEI,124,19,1,20,16
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,SCITT,417,68,4,68,16
202223,Academic year,National,E92000001,England,Mathematics,PG Salaried School Direct,Total,489,87,5,88,18
202223,Academic year,National,E92000001,England,Mathematics,PG Total,HEI,3303,1086,64,1311,40
202223,Academic year,National,E92000001,England,Mathematics,PG Total,SCITT,1989,619,36,694,35
202223,Academic year,National,E92000001,England,Mathematics,PG Total,Total,4070,1705,100,2005,49
202223,Academic year,National,E92000001,England,Mathematics,Total,HEI,3303,1086,64,1311,40
202223,Academic year,National,E92000001,England,Mathematics,Total,SCITT,1989,619,36,694,35
202223,Academic year,National,E92000001,England,Mathematics,Total,Total,4070,1705,100,2005,49
